,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
88,TRUE,mp-1201311,SiB2H50C21N2,Orthorhombic,Pna2_1,33,304,0.099843082,-0.190277928,FALSE,2973.006844,0.849744086,4.3716,TRUE,FALSE,NM,0.0279822,,,,,,,,,,,,,,,
89,TRUE,mp-989461,B2(CN2)3,Trigonal,R-3c,167,22,0.198226752,-0.334934236,FALSE,322.3142843,1.459996855,2.117,TRUE,FALSE,NM,0,,,,,,,,,,,,,,,
90,TRUE,mp-1008526,B2CN,Trigonal,P3m1,156,4,0.352256658,-0.412197478,FALSE,25.41297499,3.112862026,0,FALSE,TRUE,NM,0.0024116,,,,,,,1.064,,,,,,,,
91,TRUE,mp-656345,B2H10C2NClO3,Triclinic,P-1,2,38,2.612048721,1.536503058,FALSE,396.4029442,1.283353418,0,FALSE,TRUE,FM,0.0036306,,,,,,,,,,,,,,,
92,FALSE,mp-558377,B2H12C3(NO)6,Monoclinic,P2_1/c,14,116,0.0045343,-1.072483776,FALSE,1079.893262,1.53637176,4.5897,FALSE,FALSE,NM,0,,,,,,,,,,,,,,,
93,FALSE,mp-568532,CuB2(CN)8,Monoclinic,C2/m,12,19,0.49904565,0.1903735,FALSE,298.5868471,1.631177223,0.896,FALSE,FALSE,FM,1.0000634,,,,,,,,,,,,,,,
94,FALSE,mp-642462,B3C10N3,Orthorhombic,Pmma,51,32,0.59003968,0.040217412,FALSE,308.9141161,2.091679402,0.1721,FALSE,FALSE,NM,0.0004727,,,,,,,,,,,,,,,
95,FALSE,mp-1199209,B3H20(CN)3,Monoclinic,P2_1/c,14,116,0.155234446,-0.278681245,FALSE,1187.483309,0.730753735,5.4136,TRUE,FALSE,NM,0.0988085,,,,,,,,,,,,,,,
96,TRUE,mp-1246452,B3C3N7,Orthorhombic,P2_12_12_1,19,104,0.393276868,-0.283427462,FALSE,2121.77364,1.042522825,3.5977,FALSE,FALSE,NM,0.0008558,,,,,,,,,,,,,,,
97,FALSE,mp-677715,B3H60C16(NO)12,Cubic,P-43m,215,103,0.165202856,-0.550060911,FALSE,1264.783884,0.84702462,0,FALSE,TRUE,NM,0.0633007,,,,,,,,,,,,,,,
98,FALSE,mp-699467,B3H12CN4O,Triclinic,P-1,2,84,0.498606833,-0.250100246,FALSE,762.1669735,1.120423799,3.0203,FALSE,FALSE,NM,0.0034585,,,,,,,,,,,,,,,
